X_Point,Y_Point
-79.27130799,43.82951018
-79.27139086,43.82948293
-79.27179295,43.82899255
-79.26784387,43.82747992
-79.26816502,43.82766304
-79.26877423,43.82780818
-79.2689916,43.82799114
-79.26886215,43.82819364
-79.26850204,43.82845561
-79.26886905,43.82858485
-79.2690857,43.82881952
-79.26904793,43.82885863
-79.26937126,43.82912231
-79.27008132,43.82915568
-79.27053756,43.82939415
-75.93077981,45.63257381
-75.93117317,45.63236317
-75.93119597,45.63234905
-75.93169863,45.63232541
-75.93216852,45.63227516
-75.93228545,45.63242151
-75.93210625,45.63225316
-75.93193651,45.63276067
-75.81271106,45.50496197
-75.81283302,45.50482862
-75.81200983,45.50526854
-75.81404538,45.50587573
-75.81420992,45.50591282
-75.81405954,45.50604001
-75.86477743,45.52696271
-75.86496351,45.52714627
-75.86506326,45.52696648
-75.86511858,45.52698337
-75.8652894,45.52717946
-75.86532108,45.52716379
-79.51567628,43.59240651
-79.51568425,43.59242628
-79.51582264,43.59238278
-79.5158729,43.59256369
-79.51539041,43.59235057
-79.51534555,43.59235302
-79.51431057,43.59235495
-79.51447173,43.59247775
-79.54183234,43.58628137
-79.54239809,43.58658108
-79.54243728,43.58668021
-79.54253591,43.58675255
-79.54285138,43.58674542
-79.54256655,43.58690067
-79.54206992,43.58736335
-79.54215905,43.58746802
-79.54235446,43.58758796
-63.31487892,44.68267107
-63.31393121,44.6819629
-63.3131945,44.68131194
-63.31297992,44.68100171
-63.31207154,44.68043211
-63.31120966,44.67837966
-63.31139921,44.67782163
-63.31105231,44.67617391
-63.31136076,44.67790158
-63.31143854,44.67971375
-63.31184445,44.6802592
-63.31274567,44.68087076
-63.31357358,44.68245875
-63.31212876,44.68278677
-63.31077157,44.68177219
